gene,log2FC,pval,-log10p,gene_name
YLR029C,0.4399827725056741,0.43692987942820327,0.359588255068222,RPL15A
YLR198C,-0.8905321209700359,0.4370933261184513,0.35942582460633715,YLR198C
YBR150C,1.2472053346799155,0.4372141121937113,0.35930582854085436,TBS1
YCL025C,-1.789914288065324,0.437327284553248,0.3591934264711343,AGP1
YNL331C,-2.186571345900156,0.4373348068813385,0.35918595637356665,AAD14
YML004C,-0.8629457931851385,0.4373453660610389,0.35917547072722555,GLO1
YDR027C,-2.129228318139384,0.43746639505416374,0.359055302648706,VPS54
YLR146C,1.4186573329507377,0.43752065818359853,0.35900143630262155,SPE4
YMR271C,-2.3379113199242787,0.43779049903540845,0.35873366775956333,URA10
YBR281C,-2.121950626649639,0.43788304855632854,0.35864186700459344,DUG2
YOR002W,-2.122034960680008,0.4379874240597841,0.3585383592215858,ALG6
YCL021W-A,-2.0421630523959395,0.43803460549129314,0.35849157812549165,YCL021W-A
YDR151C,1.5866561181413321,0.4381332589275727,0.3583937780464931,CTH1
YMR251W-A,-0.9297817281587921,0.4383618845840992,0.3581672146387257,HOR7
YGL053W,1.5688362306514587,0.4384103740552714,0.35811917774071833,PRM8
YNL135C,-0.992278846542151,0.4384835971086346,0.3580466481780953,FPR1
YOR190W,2.224226750669205,0.43869228070906996,0.35784000743446676,SPR1
YDR343C,-1.6332102490880676,0.43936798584037695,0.3571715907459376,HXT6
YOR385W,-2.259334748991436,0.43937082407920747,0.357168785290099,YOR385W
YOR031W,-1.0905126886054017,0.4394575166400073,0.3570831027986383,None
YMR066W,2.141861070169658,0.43963096040094096,0.35691173058471737,SOV1
YNL029C,-2.083957374519592,0.43982931260984226,0.3567158302719838,KTR5
YKL164C,-2.0833270079129607,0.4400041375312589,0.356543239653481,PIR1
YDL210W,1.5248825199807048,0.44001124939347336,0.35653622013413677,UGA4
YKL025C,0.9809484969567944,0.44010755305312,0.35644117808294484,PAN3
YDR469W,-2.1491622558526227,0.4402500468111864,0.3563005891827437,SDC1
YDR429C,-0.654114647890386,0.4406428747216392,0.3559132481087358,TIF35
YOR046C,-2.1780461743338972,0.44086672953153605,0.35569267442398766,DBP5
YIL040W,-2.2637010869470693,0.44086911573144005,0.35569032380286547,APQ12
YPL221W,-1.3252961246628479,0.4412787813850988,0.35528695482997374,FLC1
YPL205C,0.9860435161477163,0.44143535591285377,0.3551328858029796,YPL205C
YFL022C,-1.0925514180086058,0.4415270913945174,0.3550426436556582,FRS2
YDR492W,1.0170951405136195,0.44152722499517716,0.35504251224351685,IZH1
YOR006C,-1.3745177026591096,0.4415296662441245,0.3550401109917803,TSR3
YNL083W,1.0986022274023148,0.44179840433006146,0.35477585702932063,SAL1
YGR217W,1.3327083258516994,0.44192212605546755,0.35465425373701503,CCH1
YDR332W,0.8299080647997362,0.4421626820218314,0.3544179141225245,IRC3
YDR066C,1.6617683829301244,0.44250968197434226,0.35407722263388397,RTR2
YGL148W,0.48242927030280275,0.4426369404329715,0.3539523446863442,ARO2
YDR291W,-2.154917064166821,0.4431749272973684,0.3534248178744265,HRQ1
YJL139C,-2.1767597414580644,0.4431757939071317,0.35342396863082765,YUR1
YKL096W,0.6196227516005625,0.44353360404638476,0.35307347053564614,CWP1
YLR265C,-1.4963406744958188,0.44370251251816184,0.3529081120324108,NEJ1
