gene,log2FC,pval,-log10p,gene_name
YLR371W,0.3163551503151702,0.6248443409411832,0.20422815911988507,ROM2
YJL156C,0.5150272450564111,0.6249856877256241,0.204129927956653,SSY5
YKR044W,-0.4130360453871097,0.6251614323919137,0.20400782242512308,UIP5
YAL031C,0.4456992718083195,0.6256982202646044,0.20363508032751437,GIP4
YMR183C,0.2084055513637979,0.6258274803793915,0.20354537069589765,SSO2
YJL026W,-0.28223114502712743,0.62616041542515,0.20331439105608165,RNR2
YHL022C,-0.42492866044851507,0.6273472903487268,0.20249197348069514,SPO11
YPR116W,-0.7479080235607717,0.6274059100450928,0.20245139464706774,RRG8
YDR519W,0.2797657936097929,0.6274187854750732,0.20244248228151934,FPR2
YGR155W,-0.16305033673247663,0.6275245692060898,0.2023692657644661,CYS4
YDL195W,-0.14592928635438623,0.6280323827762933,0.20201796247543208,SEC31
YDR156W,0.26375835588114466,0.6283284688361619,0.2018132624576227,RPA14
YJL179W,0.41089480560292313,0.6290569164109587,0.2013100582670933,PFD1
YDL231C,-0.48867132673517044,0.6292726709658789,0.2011611290604601,BRE4
YLR200W,0.27336872555693376,0.6294079831772392,0.20106775295785478,YKE2
YML036W,-0.2534729159793736,0.629569026272726,0.20095664667461843,CGI121
YOR329W-A,-0.14810086666088612,0.6296674025720599,0.20088878922853604,YOR329W-A
YIL047C,0.46423495149592703,0.6298859816449627,0.20073805693348026,SYG1
YKL027W,-0.4868320665806904,0.6298971402718038,0.20073036333927582,TCD2
YCR065W,0.43255335650046717,0.6300193673438046,0.20064609975076844,HCM1
YGR068C,-0.6137500421100129,0.6311865862497081,0.1998422391706796,ART5
YHR207C,0.7883450490682081,0.6312954646436209,0.19976733072226474,SET5
YOL005C,0.194827581653843,0.6318943570308544,0.19935552297325543,RPB11
YDR180W,-0.4908885452146337,0.6323025543736615,0.19907506372189937,SCC2
YOL018C,0.4937136719985159,0.6324962366847735,0.19894205417095676,TLG2
YLR226W,0.3136772674919852,0.6325977016319747,0.19887239030579082,BUR2
YHR070C-A,0.49850731529265635,0.6326045326538766,0.19886770066007664,YHR070C-A
YNL038W,-0.3994688048720331,0.6327842651671465,0.19874432855595967,GPI15
YDR346C,-0.19762975996274984,0.6328529568727455,0.1986971864077928,SVF1
YGL255W,0.8019892482398888,0.6334384603167069,0.19829557121950814,ZRT1
YER008C,0.300912434472494,0.6342581999532522,0.19773390933062446,SEC3
YIR020C,-0.4466624716561237,0.6345289975337818,0.1975485261600574,YIR020C
YNL158W,0.4380681741689337,0.6348826650833956,0.1973065307952393,PGA1
YDR528W,0.4784375460248732,0.6355813809016471,0.19682883375872995,HLR1
YOL108C,0.4163458429100953,0.6356905987219055,0.1967542113371857,INO4
YPR054W,-0.5378874988681002,0.6362336097112684,0.19638339255874446,SMK1
YJL009W,-0.22374394021780666,0.6363146949479568,0.196328047121913,YJL009W
YCR081W,0.3905031368353851,0.6364511486441733,0.19623492537791346,SRB8
YPL042C,-0.450128941616429,0.6369928586489042,0.19586543652926403,SSN3
YNL026W,-0.4844496428111968,0.6370680387116634,0.19581418264256048,SAM50
YJL197W,-0.38958289123129297,0.6371350342412043,0.19576851364452363,UBP12
YIL134W,0.45089910998394184,0.6375264348712617,0.1955018026105608,FLX1
YBR070C,0.45376157841507836,0.6380547863964386,0.19514202910310205,ALG14
YHR144C,0.4878365233705326,0.6381860685679603,0.1950526805719945,DCD1
YML122C,0.3875216455325314,0.6383078682294097,0.19496980211953846,YML122C
YPL207W,-0.2840703337106792,0.638668185346132,0.19472471727359703,TYW1
YDR273W,-0.5938389664621685,0.6388902786590824,0.1945737200332027,DON1
YJR111C,-0.42832906346983135,0.6391192299327879,0.19441811512542967,PXP2
YJL006C,-0.3993250588894005,0.6392519595378088,0.19432793203036672,CTK2
YGL038C,0.37899396998521584,0.6392664131665127,0.19431811264673662,OCH1
YNL288W,0.3271668326666888,0.6395440417395502,0.19412954277898092,CAF40
YEL066W,0.35192545874353387,0.6396543100595256,0.19405466944452843,HPA3
YBR259W,-0.6542025191623513,0.6396829470384106,0.1940352267497406,YBR259W
YOR377W,0.34402594172393186,0.6400016914598692,0.1938188782181178,ATF1
YGR239C,0.4161673960509915,0.6400362793052987,0.19379540811682752,PEX21
YPL049C,0.21127931231391697,0.6404442859510115,0.19351864477403638,DIG1
YFR039C,-0.571063594768041,0.6405860273259136,0.1934225385436208,OSW7
YLL031C,0.6337530675375838,0.6406027383859303,0.1934112091886551,GPI13
