gene,class,gene_name
YBR225W,background,YBR225W
YBR226C,background,YBR226C
YBR227C,background,MCX1
YBR228W,background,SLX1
YBR229C,background,ROT2
YBR230C,background,OM14
YBR231C,background,SWC5
YBR233W,background,PBP2
YBR234C,background,ARC40
YBR235W,background,VHC1
YBR236C,background,ABD1
YBR237W,background,PRP5
YBR238C,background,YBR238C
YBR239C,background,ERT1
YBR240C,background,THI2
YBR241C,background,YBR241C
YBR242W,background,YBR242W
YBR243C,background,ALG7
YBR244W,background,GPX2
YBR245C,background,ISW1
YBR246W,background,RRT2
YBR247C,background,ENP1
YBR248C,background,HIS7
YBR249C,background,ARO4
YBR250W,background,SPO23
YBR251W,background,MRPS5
YBR252W,background,DUT1
YBR253W,background,SRB6
YBR254C,background,TRS20
YBR255W,background,MTC4
YBR256C,background,RIB5
YBR257W,background,POP4
YBR258C,background,SHG1
YBR259W,background,YBR259W
YBR260C,background,RGD1
YBR261C,background,TAE1
YBR262C,background,YBR262C
YBR263W,background,SHM1
YBR264C,background,YPT10
YBR265W,background,TSC10
YBR267W,background,REI1
YBR268W,background,MRPL37
YBR269C,background,SDH8
YBR270C,background,BIT2
YBR271W,background,EFM2
YBR272C,background,HSM3
YBR273C,background,UBX7
YBR274W,background,CHK1
YBR275C,background,RIF1
YBR276C,background,PPS1
YBR278W,background,DPB3
YBR279W,background,PAF1
YBR280C,background,SAF1
YBR281C,background,DUG2
YBR282W,background,MRPL27
YBR283C,background,SSH1
YBR284W,background,YBR284W
YBR285W,background,YBR285W
YBR286W,background,APE3
YBR287W,background,YBR287W
YBR288C,background,APM3
YBR289W,background,SNF5
YBR290W,background,BSD2
YBR291C,background,CTP1
YBR292C,background,YBR292C
YBR293W,background,VBA2
YBR294W,background,SUL1
YBR295W,background,PCA1
YBR296C,background,PHO89
YBR297W,background,MAL33
YBR298C,background,MAL31
YBR299W,background,MAL32
YBR300C,background,YBR300C
YBR301W,background,PAU24
YBR302C,background,COS2
YCL001W,background,RER1
YCL002C,background,YCL002C
YCL004W,background,PGS1
YCL005W,background,LDB16
YCL008C,background,STP22
YCL009C,background,ILV6
YCL010C,background,SGF29
YCL011C,background,GBP2
YCL014W,background,BUD3
YCL016C,background,DCC1
YCL017C,background,NFS1
YCL024W,background,KCC4
YCL025C,background,AGP1
YCL027W,background,FUS1
YCL028W,background,RNQ1
YCL029C,background,BIK1
YCL030C,background,HIS4
YCL031C,background,RRP7
YCL032W,background,STE50
YCL033C,background,MXR2
YCL034W,background,LSB5
YCL035C,background,GRX1
YCL036W,background,GFD2
YCL037C,background,SRO9
YCL038C,background,ATG22
YCL039W,background,GID7
YCL040W,background,GLK1
YCL041C,background,YCL041C
YCL043C,background,PDI1
YCL044C,background,MGR1
YCL045C,background,EMC1
YCL046W,background,YCL046W
YCL047C,background,POF1
YCL048W,background,SPS22
YCL049C,background,YCL049C
YCL050C,background,APA1
YCL051W,background,LRE1
YCL052C,background,PBN1
YCL054W,background,SPB1
YCL055W,background,KAR4
YCL056C,background,PEX34
YCL057W,background,PRD1
YCL058C,background,FYV5
YCL059C,background,KRR1
YCL061C,background,MRC1
YCL063W,background,VAC17
YCL064C,background,CHA1
YCL065W,background,YCL065W
YCL066W,background,HMLALPHA1
YCL067C,background,HMLALPHA2
YCL068C,background,YCL068C
YCL026C-A,background,FRM2
YCR002C,background,CDC10
YCR003W,background,MRPL32
YCR004C,background,YCP4
YCR005C,background,CIT2
YCR006C,background,YCR006C
YCR007C,background,YCR007C
YCR008W,background,SAT4
YCR009C,background,RVS161
YCR010C,background,ADY2
YCR011C,background,ADP1
YCR012W,background,PGK1
YCR013C,background,YCR013C
YCR014C,background,POL4
YCR015C,background,CTO1
YCR016W,background,YCR016W
YCR017C,background,CWH43
YCR019W,background,MAK32
YCR020C,background,PET18
YCR020C-A,background,MAK31
YCR021C,background,HSP30
YCR022C,background,YCR022C
YCR023C,background,YCR023C
YCR024C,background,SLM5
YCR024C-A,background,PMP1
YCR025C,background,YCR025C
YCR026C,background,NPP1
YCR027C,background,RHB1
YCR028C,background,FEN2
YCR030C,background,SYP1
YCR031C,background,RPS14A
YCR032W,background,BPH1
YCR033W,background,SNT1
YCR034W,background,YCR034W
YCR035C,background,RRP43
YCR036W,background,RBK1
YCR037C,background,PHO87
YCR038C,background,BUD5
YCR042C,background,TAF2
YCR043C,background,YCR043C
YCR044C,background,PER1
YCR045C,background,RRT12
YCR046C,background,IMG1
YCR047C,background,BUD23
YCR048W,background,ARE1
YCR050C,background,YCR050C
YCR051W,background,YCR051W
YCR052W,background,RSC6
YCR053W,background,THR4
YCR054C,background,CTR86
YCR057C,background,PWP2
YCR059C,background,YIH1
YCR060W,background,TAH1
YCR061W,background,YCR061W
YCR063W,background,BUD31
YCR065W,background,HCM1
YCR066W,background,RAD18
YCR067C,background,SED4
YCR068W,background,ATG15
YCR069W,background,CPR4
YCR071C,background,IMG2
YCR072C,background,RSA4
YCR073C,background,SSK22
YCR075C,background,ERS1
YCR076C,background,FUB1
YCR077C,background,PAT1
YCR081W,background,SRB8
YCR082W,background,AHC2
YCR083W,background,TRX3
YCR084C,background,TUP1
YCR085W,background,YCR085W
YCR086W,background,CSM1
YCR088W,background,ABP1
YCR089W,background,FIG2
YCR090C,background,YCR090C
YCR091W,background,KIN82
YCR092C,background,MSH3
YCR093W,background,CDC39
YCR094W,background,CDC50
YCR095C,background,OCA4
YCR098C,background,GIT1
YCR099C,background,YCR099C
YCR100C,background,YCR100C
YCR101C,background,YCR101C
YCR102C,background,YCR102C
YCR104W,background,PAU3
YCR105W,background,ADH7
YCR106W,background,RDS1
YCR107W,background,AAD3
YCR073W-A,background,SOL2
YEL001C,background,IRC22
YEL002C,background,WBP1
YEL003W,background,GIM4
YEL004W,background,YEA4
YEL005C,background,VAB2
YEL006W,background,YEA6
YEL007W,background,MIT1
YEL008W,background,YEL008W
YEL009C,background,GCN4
YEL011W,background,GLC3
YEL012W,background,UBC8
YEL013W,background,VAC8
YEL014C,background,YEL014C
YEL015W,background,EDC3
YEL016C,background,NPP2
YEL017W,background,GTT3
YEL018W,background,EAF5
YEL019C,background,MMS21
YEL020C,background,PXP1
YEL022W,background,GEA2
YEL023C,background,YEL023C
YEL024W,background,RIP1
YEL025C,background,YEL025C
YEL026W,entropy_specific,SNU13
YEL027W,background,VMA3
YEL028W,background,YEL028W
YEL029C,background,BUD16
YEL030W,background,ECM10
YEL031W,background,SPF1
YEL032W,background,MCM3
YEL033W,time_specific,MTC7
YEL035C,background,UTR5
YEL036C,background,ANP1
YEL037C,background,RAD23
YEL038W,background,UTR4
YEL039C,background,CYC7
YEL040W,background,UTR2
YEL041W,background,YEF1
YEL042W,background,GDA1
YEL043W,background,YEL043W
YEL044W,background,IES6
YEL045C,background,YEL045C
YEL046C,background,GLY1
YEL047C,background,YEL047C
YEL048C,background,TCA17
YEL050C,background,RML2
YEL051W,background,VMA8
YEL052W,background,AFG1
YEL053C,background,MAK10
YEL054C,time_specific,RPL12A
YEL055C,background,POL5
YEL056W,background,HAT2
YEL057C,background,SDD1
YEL058W,background,PCM1
YEL059W,background,HHY1
YEL060C,background,PRB1
YEL061C,background,CIN8
YEL062W,background,NPR2
YEL063C,background,CAN1
YEL064C,background,AVT2
YEL065W,background,SIT1
YEL066W,background,HPA3
YEL067C,background,YEL067C
YEL068C,background,YEL068C
YEL069C,background,HXT13
YEL070W,background,DSF1
YEL071W,background,DLD3
YEL072W,background,RMD6
YEL073C,background,YEL073C
YER001W,background,MNN1
YER002W,background,NOP16
YER003C,background,PMI40
YER004W,entropy_specific,FMP52
